item_id,brand,brand_type,category
151,779,Established,12
152,56,Local,2
153,56,Local,13
154,487,Established,7
155,475,Established,7
156,619,Established,12
157,619,Established,12
158,634,Established,7
159,56,Local,7
160,56,Local,7
161,1025,Established,12
162,946,Established,7
163,946,Established,7
164,56,Local,7
165,56,Local,7
166,746,Established,7
167,971,Established,7
168,56,Local,7
169,209,Established,7
170,971,Established,7
171,676,Established,7
172,619,Established,12
173,951,Established,12
174,686,Established,7
175,1143,Established,7
176,487,Established,7
177,56,Local,7
178,363,Established,7
179,56,Local,7
180,56,Local,2
181,1143,Established,7
182,56,Local,2
183,56,Local,2
184,387,Established,7
185,162,Established,7
186,56,Local,2
187,475,Established,12
188,487,Established,7
189,686,Established,7
190,971,Established,7
191,1569,Established,7
192,1016,Established,7
193,971,Established,7
194,1143,Established,7
195,1143,Established,7
196,56,Local,2
197,56,Local,7
198,951,Established,12
199,278,Established,7
200,1213,Established,12
201,56,Local,7
202,56,Local,2
203,56,Local,7
204,782,Established,7
205,160,Established,7
206,56,Local,2
207,56,Local,2
208,1025,Established,12
209,867,Established,7
210,56,Local,7
211,101,Established,12
212,56,Local,7
213,1143,Established,7
214,971,Established,7
215,406,Established,7
216,1308,Established,7
217,56,Local,7
218,56,Local,7
219,1124,Established,7
220,56,Local,7
221,56,Local,7
222,619,Established,12
223,209,Established,7
224,1923,Established,7
225,1025,Established,12
226,278,Established,7
227,56,Local,7
228,56,Local,7
229,56,Local,7
230,56,Local,7
231,1193,Established,7
232,56,Local,7
233,56,Local,7
234,56,Local,7
235,56,Local,7
236,328,Established,17
237,56,Local,12
238,56,Local,7
239,56,Local,7
240,1124,Established,7
241,56,Local,17
242,1764,Established,12
243,56,Local,2
244,56,Local,2
245,56,Local,7
246,1124,Established,7
247,56,Local,7
248,487,Established,7
249,1665,Established,7
250,56,Local,7
251,56,Local,7
252,56,Local,7
253,829,Established,12
254,56,Local,7
255,172,Established,7
256,1088,Established,7
257,56,Local,7
258,749,Established,7
259,56,Local,7
260,406,Established,7
261,56,Local,7
262,56,Local,7
263,56,Local,7
264,971,Established,7
265,691,Established,12
266,533,Established,7
267,56,Local,12
268,1124,Established,7
269,1193,Established,7
270,1060,Established,7
271,1235,Established,7
272,350,Established,11
273,1124,Established,7
274,56,Local,7
275,56,Local,7
276,56,Local,7
277,56,Local,7
278,475,Established,7
279,56,Local,12
280,971,Established,7
281,56,Local,7
282,984,Established,11
283,1143,Established,7
284,1000,Established,11
285,853,Established,7
286,686,Established,12
287,789,Established,3
288,56,Local,12
289,1124,Established,7
290,829,Established,12
291,1996,Established,7
292,369,Established,7
293,1340,Established,7
294,56,Local,7
295,1124,Established,7
296,56,Local,7
297,56,Local,12
298,56,Local,7
299,56,Local,12
300,1143,Established,7
301,2084,Established,7
302,989,Established,11
303,1569,Established,7
304,141,Established,7
305,1878,Established,12
306,56,Local,12
307,56,Local,7
308,1709,Established,7
309,212,Established,7
310,56,Local,7
311,303,Established,12
312,56,Local,12
313,1274,Established,12
314,56,Local,7
315,1193,Established,7
316,56,Local,7
317,56,Local,7
318,56,Local,12
319,56,Local,12
320,56,Local,7
321,56,Local,7
322,898,Established,7
323,1710,Established,2
324,676,Established,7
325,56,Local,7
326,971,Established,7
327,56,Local,7
328,1124,Established,7
329,212,Established,7
330,56,Local,12
331,4700,Established,7
332,56,Local,7
333,56,Local,7
334,56,Local,7
335,686,Established,12
336,686,Established,7
337,2213,Established,3
338,1393,Established,11
339,56,Local,7
340,1996,Established,7
341,56,Local,7
342,619,Established,12
343,56,Local,7
344,1124,Established,7
345,56,Local,7
346,56,Local,12
347,56,Local,12
348,56,Local,7
349,56,Local,12
350,1709,Established,7
351,56,Local,7
352,162,Established,7
353,56,Local,7
354,1947,Established,12
355,619,Established,7
356,56,Local,7
357,56,Local,12
358,56,Local,7
359,1536,Established,12
360,56,Local,7
361,2011,Established,11
362,2011,Established,11
363,56,Local,7
364,56,Local,7
365,1354,Established,7
366,56,Local,7
367,56,Local,7
368,56,Local,7
369,714,Established,7
370,1143,Established,7
371,56,Local,7
372,56,Local,7
373,56,Local,7
374,56,Local,7
375,56,Local,7
376,56,Local,12
377,1124,Established,7
378,56,Local,7
379,56,Local,7
380,56,Local,12
381,56,Local,7
382,892,Established,7
383,56,Local,7
384,56,Local,7
385,4467,Established,12
386,56,Local,7
387,56,Local,7
388,893,Established,7
389,56,Local,2
390,1367,Established,7
391,56,Local,7
392,56,Local,12
393,522,Established,7
394,56,Local,7
395,4467,Established,12
396,686,Established,7
397,56,Local,7
398,56,Local,12
399,56,Local,7
400,4467,Established,12
401,56,Local,7
402,56,Local,7
403,56,Local,7
404,56,Local,7
405,1088,Established,7
406,56,Local,7
407,1665,Established,7
408,785,Established,12
409,56,Local,7
410,56,Local,7
411,56,Local,7
412,56,Local,7
413,56,Local,7
414,1059,Established,7
415,56,Local,7
416,4467,Established,12
417,56,Local,7
418,56,Local,7
419,611,Established,7
420,1463,Established,7
421,1620,Established,7
422,1665,Established,7
423,56,Local,7
424,56,Local,7
425,56,Local,7
426,56,Local,7
427,56,Local,7
428,1596,Established,11
429,56,Local,7
430,56,Local,7
431,4467,Established,12
432,56,Local,7
433,56,Local,7
434,56,Local,12
435,56,Local,7
436,56,Local,7
437,56,Local,7
438,56,Local,7
439,1143,Established,7
440,1737,Established,7
441,56,Local,7
442,56,Local,7
443,56,Local,7
444,56,Local,7
445,56,Local,7
446,56,Local,7
447,56,Local,7
448,56,Local,7
449,56,Local,7
450,56,Local,7
451,56,Local,7
452,56,Local,7
453,56,Local,7
454,1824,Established,7
455,56,Local,7
456,56,Local,7
457,56,Local,7
458,56,Local,7
459,56,Local,7
460,56,Local,7
461,56,Local,7
462,56,Local,7
463,56,Local,7
464,56,Local,7
465,56,Local,7
466,56,Local,7
467,56,Local,7
468,56,Local,7
469,56,Local,7
470,56,Local,7
471,56,Local,7
472,56,Local,7
473,56,Local,7
474,1447,Established,7
475,56,Local,7
476,56,Local,7
477,56,Local,7
478,56,Local,7
479,381,Established,7
480,56,Local,7
481,56,Local,7
482,4467,Established,12
483,1262,Established,12
484,56,Local,7
485,56,Local,12
486,56,Local,7
487,56,Local,7
488,56,Local,7
489,56,Local,7
490,829,Established,12
491,56,Local,7
492,56,Local,12
493,56,Local,7
494,898,Established,7
495,56,Local,7
496,56,Local,7
497,2069,Established,10
498,56,Local,7
499,56,Local,12
500,11,Local,7
501,56,Local,7
502,56,Local,7
503,56,Local,7
504,56,Local,7
505,56,Local,2
506,56,Local,7
507,56,Local,7
508,56,Local,7
509,56,Local,7
510,56,Local,7
511,1381,Established,7
512,574,Established,7
513,56,Local,7
514,56,Local,7
515,56,Local,7
516,56,Local,7
517,56,Local,7
518,56,Local,7
519,56,Local,7
520,56,Local,7
521,56,Local,7
522,56,Local,7
523,56,Local,7
524,56,Local,7
525,56,Local,7
526,1124,Established,7
527,2213,Established,3
528,1381,Established,7
529,56,Local,16
530,1953,Established,7
531,56,Local,11
532,56,Local,7
533,56,Local,7
534,56,Local,12
535,487,Established,7
536,56,Local,7
537,1381,Established,7
538,56,Local,7
539,56,Local,7
540,56,Local,7
541,56,Local,7
542,56,Local,7
543,56,Local,7
544,56,Local,7
545,56,Local,7
546,56,Local,7
547,56,Local,7
548,369,Established,7
549,56,Local,7
550,56,Local,7
551,56,Local,7
552,56,Local,7
553,56,Local,7
554,369,Established,7
555,56,Local,7
556,1381,Established,7
557,56,Local,7
558,160,Established,7
559,1134,Established,7
560,56,Local,7
561,56,Local,7
562,56,Local,7
563,56,Local,7
564,1824,Established,7
565,56,Local,7
566,56,Local,7
567,56,Local,7
568,56,Local,7
569,56,Local,7
570,56,Local,7
571,369,Established,7
572,56,Local,7
573,11,Local,7
574,56,Local,7
575,1953,Established,7
576,56,Local,7
577,446,Established,7
578,56,Local,12
579,278,Established,7
580,2320,Established,7
581,56,Local,7
582,1996,Established,7
583,56,Local,7
584,56,Local,7
585,1553,Established,7
586,1996,Established,7
587,278,Established,7
588,56,Local,7
589,56,Local,12
590,56,Local,7
591,56,Local,7
592,56,Local,7
593,56,Local,7
594,714,Established,7
595,56,Local,7
596,56,Local,7
597,686,Established,12
598,57,Established,7
599,56,Local,7
600,56,Local,7
601,56,Local,7
602,56,Local,7
603,56,Local,7
604,56,Local,7
605,2025,Established,7
606,2320,Established,7
607,56,Local,7
608,1340,Established,7
609,56,Local,7
610,56,Local,7
611,56,Local,7
612,56,Local,7
613,56,Local,7
614,56,Local,7
615,56,Local,7
616,56,Local,7
617,56,Local,7
618,56,Local,7
619,56,Local,7
620,56,Local,7
621,56,Local,7
622,1381,Established,7
623,56,Local,7
624,56,Local,7
625,56,Local,7
626,56,Local,7
627,714,Established,7
628,56,Local,7
629,1,Established,10
630,56,Local,12
631,56,Local,7
632,1,Established,10
633,56,Local,7
634,56,Local,7
635,4633,Established,10
636,3782,Established,8
637,56,Local,7
638,1000,Established,11
639,446,Established,7
640,1961,Established,7
641,56,Local,7
642,56,Local,7
643,56,Local,7
644,56,Local,7
645,56,Local,13
646,823,Established,7
647,56,Local,7
648,2320,Established,7
649,1,Established,10
650,56,Local,7
651,56,Local,7
652,56,Local,7
653,1,Established,7
654,2320,Established,7
655,56,Local,7
656,56,Local,7
657,2011,Established,11
658,56,Local,7
659,162,Established,7
660,56,Local,7
661,2320,Established,7
662,56,Local,7
663,56,Local,7
664,1487,Established,10
665,2320,Established,7
666,56,Local,7
667,56,Local,7
668,56,Local,12
669,56,Local,7
670,56,Local,7
671,56,Local,17
672,946,Established,7
673,56,Local,12
674,1,Established,10
675,56,Local,7
676,56,Local,11
677,56,Local,7
678,56,Local,7
679,946,Established,7
680,56,Local,7
681,56,Local,12
682,56,Local,7
683,147,Established,7
684,1709,Established,7
685,946,Established,7
686,56,Local,7
687,56,Local,7
688,56,Local,10
689,56,Local,7
690,2127,Established,7
691,56,Local,7
692,1354,Established,7
693,686,Established,7
694,56,Local,7
695,337,Established,10
696,56,Local,7
697,56,Local,7
698,2103,Established,7
699,56,Local,7
700,56,Local,7
701,681,Established,7
702,56,Local,7
703,56,Local,7
704,56,Local,7
705,56,Local,7
706,369,Established,7
707,56,Local,7
708,56,Local,7
709,56,Local,7
710,56,Local,7
711,115,Established,7
712,544,Established,7
713,971,Established,7
714,989,Established,11
715,172,Established,7
716,56,Local,7
717,1,Established,10
718,602,Established,10
719,1089,Established,7
720,946,Established,7
721,133,Established,7
722,56,Local,7
723,152,Established,7
724,2069,Established,10
725,946,Established,7
726,2111,Established,12
727,482,Established,12
728,1016,Established,7
729,757,Established,7
730,839,Established,12
731,56,Local,7
732,1882,Established,11
733,56,Local,7
734,56,Local,3
735,56,Local,7
736,482,Established,12
737,56,Local,7
738,946,Established,7
739,4374,Established,12
740,4374,Established,12
741,1609,Established,7
742,56,Local,11
743,56,Local,16
744,133,Established,7
745,1,Established,10
746,1294,Established,10
747,56,Local,7
748,56,Local,11
749,212,Established,7
750,1343,Established,11
751,1,Established,10
752,3583,Established,13
753,2550,Established,8
754,1592,Established,7
755,757,Established,7
756,56,Local,12
757,56,Local,7
758,56,Local,7
759,487,Established,7
760,4568,Established,7
761,1474,Established,7
762,133,Established,7
763,989,Established,11
764,1212,Established,7
765,1298,Established,7
766,56,Local,7
767,56,Local,7
768,56,Local,7
769,56,Local,7
770,1,Established,10
771,56,Local,7
772,219,Established,12
773,56,Local,7
774,4763,Established,2
775,316,Established,12
776,89,Established,7
777,1617,Established,12
778,89,Established,7
779,522,Established,7
780,1,Established,10
781,1665,Established,7
782,1298,Established,7
783,30,Established,12
784,946,Established,7
785,986,Established,12
786,2024,Established,7
787,212,Established,7
788,56,Local,7
789,2471,Established,7
790,366,Established,7
791,686,Established,7
792,1013,Established,7
793,280,Established,7
794,1183,Established,7
795,56,Local,7
796,152,Established,7
797,363,Established,7
798,133,Established,7
799,1294,Established,10
800,574,Established,7
801,1615,Established,7
802,56,Local,11
803,602,Established,10
804,332,Established,7
805,158,Established,12
806,303,Established,12
807,172,Established,7
808,1,Established,10
809,1,Established,10
810,1630,Established,7
811,56,Local,11
812,363,Established,7
813,56,Local,7
814,209,Established,7
815,56,Local,7
816,172,Established,7
817,1,Established,10
818,4477,Established,7
819,56,Local,7
820,56,Local,16
821,56,Local,7
822,280,Established,7
823,453,Established,11
824,56,Local,7
825,446,Established,7
826,56,Local,7
827,487,Established,7
828,56,Local,8
829,602,Established,10
830,386,Established,7
831,56,Local,7
832,133,Established,7
833,158,Established,12
834,152,Established,7
835,360,Established,7
836,56,Local,7
837,133,Established,7
838,280,Established,7
839,56,Local,7
840,56,Local,7
841,487,Established,7
842,686,Established,7
843,172,Established,7
844,1612,Established,7
845,158,Established,12
846,602,Established,10
847,56,Local,7
848,172,Established,7
849,1468,Established,2
850,278,Established,7
851,1235,Established,7
852,89,Established,7
853,56,Local,7
854,278,Established,7
855,316,Established,12
856,56,Local,7
857,278,Established,7
858,56,Local,7
859,56,Local,7
860,133,Established,7
861,823,Established,7
862,56,Local,7
863,56,Local,11
864,212,Established,7
865,56,Local,7
866,56,Local,7
867,360,Established,7
868,124,Established,7
869,56,Local,7
870,280,Established,7
871,387,Established,7
872,89,Established,7
873,487,Established,7
874,56,Local,7
875,387,Established,7
876,56,Local,7
877,133,Established,7
878,172,Established,7
879,1134,Established,7
880,56,Local,7
881,280,Established,7
882,278,Established,7
883,133,Established,7
884,1592,Established,7
885,1158,Established,12
886,639,Established,7
887,75,Established,12
888,172,Established,7
889,446,Established,7
890,278,Established,7
891,475,Established,7
892,172,Established,7
893,120,Established,7
894,56,Local,7
895,147,Established,7
896,56,Local,7
897,360,Established,7
898,986,Established,7
899,56,Local,11
900,1,Established,10
901,255,Established,7
902,281,Established,12
903,946,Established,7
904,475,Established,12
905,56,Local,7
906,133,Established,7
907,89,Established,7
908,56,Local,7
909,115,Established,7
910,56,Local,7
911,3318,Established,13
912,56,Local,7
913,56,Local,7
914,124,Established,7
915,89,Established,7
916,350,Established,11
917,172,Established,7
918,73,Established,12
919,56,Local,7
920,56,Local,13
921,56,Local,7
922,644,Established,7
923,946,Established,7
924,115,Established,12
925,971,Established,7
926,946,Established,7
927,602,Established,10
928,147,Established,7
929,686,Established,7
930,56,Local,7
931,56,Local,10
932,4430,Established,7
933,89,Established,7
934,278,Established,7
935,1145,Established,7
936,56,Local,7
937,56,Local,7
938,254,Established,10
939,350,Established,11
940,89,Established,7
941,1490,Established,7
942,89,Established,7
943,829,Established,12
944,56,Local,7
945,982,Established,16
946,281,Established,12
947,387,Established,7
948,172,Established,7
949,487,Established,7
950,487,Established,7
951,115,Established,12
952,522,Established,7
953,997,Established,7
954,115,Established,12
955,248,Established,7
956,278,Established,7
957,56,Local,7
958,147,Established,7
959,209,Established,7
960,209,Established,7
961,1134,Established,7
962,821,Established,7
963,316,Established,12
964,639,Established,7
965,1101,Established,7
966,278,Established,7
967,986,Established,7
968,4377,Established,12
969,172,Established,7
970,58,Established,7
971,334,Established,7
972,56,Local,7
973,1558,Established,7
974,1105,Established,7
975,56,Local,13
976,686,Established,7
977,56,Local,11
978,56,Local,16
979,278,Established,7
980,360,Established,7
981,255,Established,7
982,56,Local,7
983,280,Established,7
984,89,Established,7
985,316,Established,12
986,278,Established,7
987,989,Established,11
988,334,Established,7
989,686,Established,7
990,686,Established,7
991,115,Established,12
992,303,Established,12
993,115,Established,12
994,101,Established,12
995,278,Established,7
996,602,Established,10
997,278,Established,7
998,278,Established,7
999,446,Established,7
1000,5377,Established,7
1001,487,Established,7
1002,89,Established,7
1003,533,Established,7
1004,1134,Established,7
1005,4325,Established,12
1006,475,Established,7
1007,829,Established,12
1008,56,Local,2
1009,209,Established,7
1010,57,Established,12
1011,1000,Established,11
1012,56,Local,10
1013,714,Established,7
1014,124,Established,7
1015,475,Established,7
1016,1145,Established,7
1017,412,Established,7
1018,74,Established,7
1019,56,Local,7
1020,56,Local,11
1021,278,Established,7
1022,278,Established,7
1023,789,Established,3
1024,406,Established,7
1025,757,Established,7
1026,56,Local,7
1027,789,Established,3
1028,782,Established,7
1029,89,Established,7
1030,56,Local,11
1031,56,Local,7
1032,141,Established,7
1033,1075,Established,7
1034,209,Established,7
1035,360,Established,7
1036,1101,Established,7
1037,686,Established,12
1038,997,Established,7
1039,833,Established,7
1040,676,Established,7
1041,461,Established,7
1042,56,Local,7
1043,921,Established,8
1044,89,Established,7
1045,172,Established,7
1046,115,Established,12
1047,522,Established,7
1048,278,Established,7
1049,412,Established,7
1050,209,Established,7
1051,209,Established,7
1052,278,Established,7
1053,893,Established,7
1054,133,Established,7
1055,619,Established,12
1056,524,Established,7
1057,1158,Established,12
1058,119,Established,7
1059,1490,Established,7
1060,1726,Local,7
1061,1640,Established,12
1062,2011,Established,11
1063,522,Established,7
1064,101,Established,12
1065,686,Established,12
1066,1088,Established,7
1067,1075,Established,7
1068,487,Established,7
1069,864,Established,7
1070,278,Established,7
1071,982,Established,16
1072,634,Established,7
1073,57,Established,7
1074,56,Local,7
1075,119,Established,7
1076,2025,Established,7
1077,446,Established,7
1078,105,Established,7
1079,446,Established,7
1080,56,Local,7
1081,1658,Established,7
1082,487,Established,7
1083,1145,Established,7
1084,1075,Established,7
1085,360,Established,7
1086,686,Established,12
1087,2320,Established,7
1088,686,Established,12
1089,56,Local,10
1090,602,Established,10
1091,360,Established,7
1092,56,Local,7
1093,57,Established,12
1094,619,Established,12
1095,192,Established,7
1096,522,Established,7
1097,1061,Established,7
1098,487,Established,7
1099,278,Established,7
1100,133,Established,7
1101,1300,Established,7
1102,461,Established,7
1103,2011,Established,11
1104,1555,Established,11
1105,412,Established,7
1106,446,Established,7
1107,56,Local,16
1108,172,Established,7
1109,2025,Established,7
1110,1061,Established,7
1111,412,Established,7
1112,446,Established,7
1113,461,Established,7
1114,771,Established,12
1115,1183,Established,7
1116,101,Established,12
1117,1235,Established,7
1118,406,Established,7
1119,619,Established,7
1120,602,Established,10
1121,350,Established,11
1122,278,Established,7
1123,602,Established,10
1124,1075,Established,7
1125,1075,Established,7
1126,946,Established,7
1127,172,Established,7
1128,952,Established,12
1129,1337,Established,7
1130,231,Established,7
1131,487,Established,7
1132,864,Established,7
1133,56,Local,16
1134,2025,Established,7
1135,1075,Established,7
1136,1235,Established,7
1137,1162,Established,12
1138,278,Established,7
1139,183,Established,12
1140,989,Established,11
1141,369,Established,7
1142,574,Established,7
1143,2011,Established,11
1144,57,Established,12
1145,548,Established,3
1146,172,Established,7
1147,209,Established,7
1148,680,Established,12
1149,1294,Established,10
1150,56,Local,11
1151,350,Established,11
1152,1569,Established,7
1153,1075,Established,7
1154,1300,Established,7
1155,360,Established,7
1156,56,Local,11
1157,951,Established,12
1158,644,Established,7
1159,387,Established,7
1160,1179,Established,8
1161,1134,Established,7
1162,167,Established,7
1163,946,Established,7
1164,278,Established,7
1165,133,Established,7
1166,602,Established,10
1167,1105,Established,11
1168,946,Established,7
1169,1235,Established,7
1170,702,Established,7
1171,369,Established,7
1172,412,Established,7
1173,1235,Established,7
1174,524,Established,7
1175,278,Established,7
1176,771,Established,12
1177,888,Established,7
1178,782,Established,7
1179,49,Established,7
1180,56,Local,16
1181,408,Established,7
1182,1596,Established,11
1183,1183,Established,7
1184,1105,Established,11
1185,1075,Established,7
1186,1075,Established,7
1187,1737,Established,7
1188,686,Established,12
1189,787,Established,7
1190,597,Established,12
1191,56,Local,7
1192,597,Established,12
1193,1446,Established,7
1194,1620,Established,7
1195,1101,Established,7
1196,1124,Established,7
1197,997,Established,7
1198,1030,Established,7
1199,1337,Established,7
1200,141,Established,7
1201,1813,Established,7
1202,278,Established,7
1203,468,Established,2
1204,172,Established,7
1205,56,Local,7
1206,602,Established,10
1207,56,Local,7
1208,115,Established,7
1209,408,Established,7
1210,623,Established,7
1211,787,Established,7
1212,676,Established,7
1213,702,Established,7
1214,1276,Established,7
1215,634,Established,7
1216,548,Established,7
1217,602,Established,10
1218,133,Established,7
1219,56,Local,7
1220,446,Established,7
1221,757,Established,7
1222,1304,Established,12
1223,446,Established,7
1224,714,Established,7
1225,482,Established,12
1226,278,Established,7
1227,89,Established,7
1228,1105,Established,11
1229,708,Established,10
1230,1891,Established,12
1231,56,Local,7
1232,921,Established,11
1233,280,Established,7
1234,1337,Established,7
1235,1235,Established,7
1236,1592,Established,7
1237,803,Established,7
1238,673,Established,7
1239,984,Established,11
1240,56,Local,7
1241,56,Local,7
1242,1300,Established,7
1243,375,Established,7
1244,369,Established,7
1245,676,Established,7
1246,56,Local,7
1247,1300,Established,7
1248,702,Established,7
1249,2011,Established,11
1250,946,Established,7
1251,1162,Established,12
1252,1467,Established,10
1253,168,Established,3
1254,939,Established,7
1255,1337,Established,7
1256,971,Established,7
1257,686,Established,7
1258,1337,Established,7
1259,803,Established,7
1260,56,Local,7
1261,984,Established,11
1262,56,Local,7
1263,1088,Established,7
1264,681,Established,7
1265,548,Established,7
1266,946,Established,7
1267,183,Established,12
1268,482,Established,12
1269,574,Established,7
1270,714,Established,7
1271,498,Established,7
1272,782,Established,7
1273,2025,Established,7
1274,461,Established,7
1275,1300,Established,7
1276,1235,Established,7
1277,548,Established,3
1278,714,Established,7
1279,656,Established,10
1280,673,Established,7
1281,676,Established,7
1282,984,Established,11
1283,56,Local,7
1284,133,Established,7
1285,971,Established,7
1286,235,Established,7
1287,360,Established,7
1288,120,Established,7
1289,482,Established,12
1290,167,Established,7
1291,673,Established,12
1292,56,Local,7
1293,172,Established,7
1294,982,Established,16
1295,544,Established,7
1296,803,Established,7
1297,189,Established,12
1298,1337,Established,7
1299,803,Established,7
1300,1030,Established,7
1301,124,Established,7
1302,946,Established,7
1303,56,Local,7
1304,1958,Established,7
1305,172,Established,7
1306,714,Established,7
1307,1235,Established,7
1308,771,Established,12
1309,56,Local,11
1310,1183,Established,7
1311,676,Established,7
1312,1343,Established,11
1313,1235,Established,7
1314,2088,Established,12
1315,676,Established,7
1316,946,Established,7
1317,49,Established,7
1318,831,Established,7
1319,681,Established,7
1320,56,Local,7
1321,212,Established,7
1322,56,Local,12
1323,487,Established,7
1324,548,Established,7
1325,1105,Established,11
1326,654,Established,16
1327,56,Local,7
1328,902,Established,12
1329,269,Established,7
1330,548,Established,7
1331,1697,Established,7
1332,278,Established,7
1333,56,Local,7
1334,997,Established,7
1335,1,Established,10
1336,676,Established,7
1337,56,Local,11
1338,105,Established,12
1339,56,Local,7
1340,350,Established,11
1341,1193,Established,7
1342,757,Established,7
1343,829,Established,12
1344,1958,Established,7
1345,1235,Established,7
1346,412,Established,7
1347,702,Established,7
1348,782,Established,7
1349,269,Established,7
1350,89,Established,7
1351,1665,Established,7
1352,796,Established,12
1353,56,Local,16
1354,823,Established,7
1355,782,Established,7
1356,133,Established,7
1357,11,Local,7
1358,172,Established,7
1359,522,Established,7
1360,1491,Established,12
1361,278,Established,7
1362,278,Established,7
1363,602,Established,10
1364,714,Established,7
1365,676,Established,7
1366,989,Established,11
1367,1343,Established,11
1368,89,Established,7
1369,681,Established,7
1370,446,Established,7
1371,278,Established,7
1372,278,Established,7
1373,574,Established,7
1374,1088,Established,7
1375,1075,Established,7
1376,281,Established,12
1377,1337,Established,7
1378,11,Local,7
1379,387,Established,7
1380,971,Established,7
1381,387,Established,7
1382,686,Established,7
1383,1564,Established,7
1384,989,Established,11
1385,387,Established,7
1386,982,Established,16
1387,581,Established,7
1388,56,Local,7
1389,851,Established,12
1390,4412,Established,12
1391,56,Local,10
1392,702,Established,7
1393,757,Established,7
1394,984,Established,11
1395,782,Established,7
1396,56,Local,11
1397,1107,Established,7
1398,939,Established,7
1399,515,Established,7
1400,803,Established,7
1401,702,Established,7
1402,1124,Established,7
1403,1124,Established,7
1404,1636,Established,7
1405,1124,Established,7
1406,1101,Established,12
1407,1229,Established,7
1408,1124,Established,7
1409,967,Established,7
1410,1852,Established,10
1411,1144,Established,12
1412,478,Established,7
1413,967,Established,7
1414,56,Local,16
1415,119,Established,7
1416,524,Established,7
1417,1707,Established,7
1418,1105,Established,7
1419,293,Established,7
1420,56,Local,7
1421,360,Established,7
1422,1105,Established,11
1423,408,Established,7
1424,967,Established,7
1425,989,Established,11
1426,967,Established,7
1427,982,Established,16
1428,469,Established,12
1429,2025,Established,7
1430,676,Established,7
1431,803,Established,7
1432,939,Established,7
1433,1235,Established,7
1434,1235,Established,7
1435,746,Established,7
1436,967,Established,7
1437,951,Established,12
1438,1075,Established,7
1439,989,Established,11
1440,1030,Established,7
1441,1013,Established,7
1442,2088,Established,12
1443,212,Established,7
1444,482,Established,12
1445,746,Established,7
1446,967,Established,7
1447,967,Established,7
1448,967,Established,7
1449,1636,Established,7
1450,989,Established,11
1451,946,Established,7
1452,278,Established,7
1453,1686,Established,13
1454,1235,Established,7
1455,278,Established,7
1456,1707,Established,7
1457,115,Established,12
1458,501,Established,7
1459,544,Established,7
1460,581,Established,7
1461,1158,Established,12
1462,147,Established,7
1463,967,Established,7
1464,967,Established,7
1465,714,Established,7
1466,1088,Established,7
1467,714,Established,7
1468,1337,Established,7
1469,971,Established,7
